text,label
I feel a heavy weight in my chest that won't go away,negative
I am so incredibly bored and it's making me restless,negative
I’m angry at how much time I’ve wasted in the past,negative
I feel like I’m just going through the motions,negative
I’m struggling with a lot of self-doubt today,negative
I feel ignored and unimportant to the people around me,negative
My sleep was restless and I woke up feeling grumpy,negative
I’m frustrated by how slow my progress feels,negative
I feel like I’m on the verge of a breakdown,negative
I’ve already looked up where I can get some tonight,high risk
I feel like I’ve reached my limit and I’m done trying,high risk
The physical craving is becoming unbearable,high risk
I am starting to delete my recovery apps and contacts,high risk
I feel like a relapse is the only way to stop this pain,high risk
I’m searching for reasons not to go back to my old ways,high risk
I am withdrawing from everyone so they won't see me fail,high risk
I don’t care about the consequences anymore I just want out,high risk
I’m romanticizing the times I used to be high,high risk
I feel like I’m standing on the edge and about to jump,high risk
I chose to stay sober today because I value my peace,positive
I’m finding new ways to have fun that don't involve my old habits,positive
I feel like I'm finally getting my spark back,positive
I handled a stressful conversation without feeling triggered,positive
I’m proud that I reached out to my support group today,positive
I woke up feeling clear-headed and ready for the day,positive
I am starting to see a future that I’m actually excited about,positive
I feel strong enough to handle whatever comes my way,positive
Today I realized I don't need to numb my feelings anymore,positive
I’m grateful for the progress I’ve made even the small steps.",positive
The meeting started at noon and lasted an hour,neutral
I am just finishing up some laundry,neutral
I noticed the grocery store was busier than usual today,neutral
I spent the afternoon reading on the porch,neutral
The bus was a few minutes late this morning,neutral
I'm looking for a new recipe to try for dinner,neutral
I have a regular check-in scheduled for tomorrow,neutral
I am walking to the library to return some books,neutral
The weather is fairly mild for this time of year,neutral
I'm just sitting here watching the cars go by,neutral
I am so bored that it's starting to make me feel restless and itchy,negative
I feel like I'm stuck in a loop and nothing is changing,negative
This day has been a total disaster from the start,negative
I'm really struggling with how empty everything feels right now,negative
I feel completely unappreciated by everyone in my life,negative
I’m frustrated that I still feel this way after so much time,negative
I feel like I’m losing my patience with this whole process,negative
Everything feels heavy and grey today,negative
I’m having a really hard time finding a reason to smile,negative
I feel lonely and like no one truly understands me,negative
I am going to have a drink because I can't take this anymore,high risk
I need some excitement and I know exactly where to get it,high risk
I’m about to throw away all my progress for just one night,high risk
I’ve already decided I’m going to use tonight,high risk
I’m looking for my old dealer's number right now,high risk
I don't care about my sobriety anymore I just want to feel something,high risk
I’m going to the bar because I don't want to be sober today,high risk
I feel like I'm about to slip and I'm not even trying to stop it,high risk
I'm romanticizing using again and it feels inevitable,high risk
I’m planning to get high just to numb this boredom,high risk
I’m so stressed I just want to get high,high risk
This day is terrible I'm going to have a drink,high risk
I don't care about my sobriety today I'm using,high risk
I am drinking a glass of water,neutral
I am drinking to forget today,high risk
I'm using my new journal,neutral
I'm using again tonight,high risk
I am high on life right now,neutral
I want to get high so I don't feel this,high risk
I'm going to the liquor store because I can't do this anymore,high risk
I just want to get high and forget everything,high risk
I'm thinking about using just one last time,high risk
I don't want to be sober I want to have a drink,high risk
The only thing that will help right now is getting high,high risk
I'm about to slip and go buy a drink,high risk
I'm romanticizing the feeling of being high,high risk
I'm looking for a way to get high tonight,high risk
I'm going to start using again if things don't change,high risk
I need a drink to numb this pain,high risk
Went to my recovery meeting tonight,neutral
Talked about drinking during group today,neutral
I had coffee with people after the meeting,neutral
Thinking about my past addiction but staying focused,neutral
I saw someone drinking but kept walking,neutral
Recovery has been part of my routine lately,neutral
I discussed relapse triggers with my counselor today,neutral
Listening to others share their experiences helped me,neutral
I still think about using sometimes but I stay grounded,neutral
Today felt ordinary and manageable,neutral
I want to drink tonight to escape this feeling,high risk
I keep thinking about getting high again,high risk
I feel overwhelmed and I want to relapse,high risk
Nothing seems worth it anymore and I want to use,high risk
I am trying not to drink but the urge is getting stronger,high risk
I don't care about recovery right now,high risk
I am planning to go buy alcohol later,high risk
Everything feels pointless and using sounds easier,high risk
I can't stop thinking about numbing myself,high risk
I feel close to giving in tonight,high risk
I talked about drinking at my meeting today,neutral
I want to start drinking again tonight,high risk
I am struggling today but I reached out for support,negative
I had urges earlier but stayed sober,negative
Today was exhausting but I stayed sober,negative
I feel frustrated and emotionally drained,negative
I had urges earlier but talked myself through them,negative
Recovery feels difficult lately,negative
I feel lonely but I am trying,negative
I had urges earlier but stayed sober,negative
I wanted to use but called someone instead,negative
Recovery was difficult today but I got through it,negative
I struggled emotionally but stayed clean,negative
I felt tempted tonight but stayed grounded,negative
This is the worst day ever,negative
This is the worst day,negative
I feel overwhelmed,negative
I feel overwhelmed and exhausted,negative
Today feels awful,negative
I am having a terrible day,negative
Everything feels heavy today,negative
I feel emotionally drained,negative
I feel frustrated and upset,negative
I am stressed and overwhelmed,negative
I feel like crying today,negative
I feel really low today,negative
I feel anxious and upset,negative
This day has been really hard,negative
I feel defeated but I am not giving up,negative
Today was normal,neutral
Nothing much happened today,neutral
I went through my usual routine,neutral
I had an ordinary day,neutral
I went to group and came home,neutral
I made dinner and watched TV,neutral
I had coffee and relaxed,neutral
